time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445650000	-510402	819086	-7.13742e+07	-3971.92	-821.187	radar	8.15085e+18	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.2106	2.94207	1.53766e+06	-4009.84	-779.367	lidar	5.26126e+18	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	96226.2	41153.4	-1.53251e+06	-4047.14	-821.376	radar	3.96459e+15	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.4628	2.90209	5.18819e+06	-4085.06	-782.57	lidar	5.72952e+24	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	272953	178068	-5.18849e+06	-4122.79	-827.096	radar	4.32357e+16	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0261	3.5067	5.5894e+06	-4160.34	-776.115	lidar	6.27964e+16	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	244035	203994	-5.58966e+06	-4197.51	-801.258	radar	4.99971e+16	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5236	3.82936	-863673	-4234.64	-762.223	lidar	1.20813e+16	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	30273.4	-131636	862358	-4267.34	-795.855	radar	2.21755e+15	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9774	4.00094	-6.04043e+06	-4304.45	-760.094	lidar	1.91852e+16	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	329134	653351	6.0403e+06	-4341.71	-536.505	radar	5.89928e+16	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3313	4.44499	-1.85626e+07	-4375.1	-624.049	lidar	2.42505e+17	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	742631	-340053	1.85628e+07	-4411.79	-773.301	radar	5.51399e+17	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6039	4.67344	-4.61325e+07	-4451.87	-792.183	lidar	1.6742e+18	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	285853	1.1866e+06	4.61326e+07	-4491.31	-827.446	radar	3.40517e+18	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9955	5.21099	-9.43073e+07	-4532.94	-830.879	lidar	7.88938e+18	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	212216	-527629	9.43073e+07	-4573.42	-778.893	radar	1.42302e+19	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.2894	5.43542	-8.63864e+07	-4612.03	-774.371	lidar	1.30601e+19	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	1.96155e+06	1.15421e+07	8.63859e+07	-4652.84	-642.555	radar	1.19402e+19	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7853	5.62476	-7.39098e+07	-4676.79	-533.278	lidar	1.0282e+19	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	2.25849e+06	-1.33578e+06	7.391e+07	-4704.13	-503.615	radar	8.74028e+18	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.1263	6.16985	1.08491e+07	-4728.06	-486.95	lidar	1.67734e+18	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	-59885.7	1.52972e+06	-1.08482e+07	-4756.23	-414.134	radar	1.89144e+17	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2164	6.66138	4.46671e+06	-4768.52	-301.887	lidar	1.00353e+17	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	5330.92	-11808.1	-4.4667e+06	-4785.09	-356.345	radar	3.19227e+16	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5422	6.76013	4.86082e+06	-4802.79	-354.839	lidar	3.48012e+16	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	441099	-519929	-4.86005e+06	-4818.23	-485.802	radar	3.78497e+16	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	19.1441	7.18344	1.21948e+07	-4850.6	-593.363	lidar	1.40205e+17	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	-4596.56	218583	-1.21949e+07	-4879.73	-600.544	radar	2.37955e+17	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0138	7.8688	5.58807e+06	-4910.46	-609.938	lidar	1.34828e+17	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	109932	721448	-5.58765e+06	-4944.33	-536.044	radar	5.06739e+16	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.132	8.12845	-1.28946e+07	-4965.07	-455.198	lidar	2.71694e+16	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	870016	191523	1.28951e+07	-4988.18	-358.621	radar	2.66244e+17	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.347	8.30741	-4.49145e+07	-5004.29	-334.378	lidar	1.337e+18	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	-79940.5	293187	4.49145e+07	-5020.25	-314.725	radar	3.2277e+18	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	20.0039	8.8906	-4.19204e+07	-5036.38	-319.97	lidar	3.01615e+18	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	704875	1.64749e+06	4.19207e+07	-5048.18	-220.398	radar	2.81181e+18	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	20.1574	9.45949	7.84861e+06	-5057.35	-195.797	lidar	4.64391e+17	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	34236.8	-48594.5	-7.84864e+06	-5064.68	-85.1134	radar	9.85639e+16	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1573	9.90876	5.79627e+06	-5069.16	-88.1712	lidar	7.44741e+16	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	235203	-47871.8	-5.79651e+06	-5074.08	-42.5263	radar	5.3829e+16	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.166	10.4687	1.51845e+07	-5076.73	-49.4736	lidar	1.76145e+17	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	-26405.8	316938	-1.51846e+07	-5080.05	-116.518	radar	3.68915e+17	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.371	11.0109	1.2896e+07	-5087.11	-132.918	lidar	3.15494e+17	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	841221	706096	-1.28964e+07	-5092.83	40.5424	radar	2.66402e+17	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3164	11.3483	1.58949e+08	-5100.76	-88.6271	lidar	1.20073e+19	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	4.59995e+06	-1.83762e+06	-1.58948e+08	-5105.52	-52.1678	radar	4.04234e+19	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.6141	11.9422	3.568e+08	-5108.23	-53.5059	lidar	1.06398e+20	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	6670.56	9.64629e+06	-3.568e+08	-5112.35	-153.943	radar	2.0369e+20	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3275	12.4955	3.66898e+07	-5120.95	-165.997	lidar	6.19338e+19	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	203551	1.29323e+06	-3.669e+07	-5129.02	-213.25	radar	2.15384e+18	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.498	12.8924	8.79021e+07	-5140.12	-219.179	lidar	6.20936e+18	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	2.04213e+06	3.93512e+06	-8.79025e+07	-5150.04	-258.036	radar	1.2363e+19	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.1943	13.1688	4.63274e+06	-5165.61	-293.652	lidar	3.59956e+18	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	245126	222966	-4.63329e+06	-5179.47	-375.103	radar	3.45582e+16	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.3245	13.8896	1.73779e+07	-5197.05	-359.406	lidar	1.94011e+17	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	943464	822718	-1.73784e+07	-5214.41	-450.105	radar	4.83416e+17	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1216	14.337	-3.25366e+07	-5236.57	-445.565	lidar	9.19237e+16	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	-121974	243371	3.25367e+07	-5255.29	-316.823	radar	1.69382e+18	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.781	14.773	-3.1174e+07	-5270.64	-310.185	lidar	1.62362e+18	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	3.55638e+06	-2.51696e+06	3.1173e+07	-5288.32	-620.477	radar	1.55568e+18	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	20.0208	15.2053	1.29305e+08	-5316.07	-576.884	lidar	3.85196e+18	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	3.541e+06	6.53985e+06	-1.29305e+08	-5342.2	-560.468	radar	2.67517e+19	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.9131	15.554	3.79739e+08	-5368.37	-535.644	lidar	1.0365e+20	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	-3.41158e+07	4.81935e+07	-3.79737e+08	-5398.34	-414.483	radar	2.30722e+20	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4747	16.0097	2.72294e+09	-5420.23	-430.09	lidar	3.85063e+21	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	1.65709e+08	1.10131e+08	-2.72294e+09	-5445.25	-453.638	radar	1.1863e+22	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	17.3472	12.4902	3.65166e+09	-5472.28	-511.659	lidar	1.62542e+22	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	-2.167e+07	5.5429e+07	-3.65159e+09	-5495.77	-454.002	radar	2.13351e+22	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0029	15.8117	1.2781e+09	-5518.52	-454.605	lidar	9.72073e+21	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	1.60423e+08	-5.20821e+07	-1.2781e+09	-5537.51	-515.114	radar	2.61367e+21	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6148	17.3857	2.21089e+09	-5555.55	-413.056	lidar	4.86934e+21	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	2.01722e+08	7.54806e+07	-2.2109e+09	-5574.49	-499.627	radar	7.82086e+21	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.1076	17.554	3.01703e+09	-5593.67	-422.419	lidar	1.09325e+22	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	3.61439e+08	-2.43359e+07	-3.01708e+09	-5613.26	-552.929	radar	1.45641e+22	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.2094	18.0461	-1.00202e+10	-5640.9	-552.929	lidar	7.6288e+31	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	1.23699e+09	-2.15404e+08	1.00208e+10	-5667.85	-725.349	radar	1.60654e+23	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.9018	18.2183	-5.87671e+10	-5705.94	-749.656	lidar	1.89269e+24	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	3.32475e+09	3.20796e+09	5.87645e+10	-5615.38	4471.25	radar	5.52564e+24	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4318	18.7039	5.86656e+10	-5978.33	-21138.3	lidar	1.89326e+22	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	-8.78805e+08	7.19121e+09	-5.80837e+10	-7040.87	-21186	radar	5.45217e+24	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	-1.36143	18.8863	-1.25576e+11	-8105.96	-21263.1	lidar	1.82215e+24	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	6.19315e+09	8.14805e+09	1.10077e+11	-9195.07	-22128.7	radar	2.36746e+25	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	139.892	19.052	2.39808e+11	-10298.6	-22090	lidar	6.73108e+24	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	7.20385e+09	1.45658e+10	-2.39452e+11	-11429.9	-23267.9	radar	9.18656e+25	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	-357.733	19.6171	4.25039e+11	-12589.3	-23215.7	lidar	1.76599e+26	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	2.33544e+10	1.86638e+10	4.0972e+11	-13750.7	-24999.3	radar	5.2093e+24	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	12.7189	105.71	4.93599e+11	-15003.3	-25074	lidar	1.58042e+24	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	1.393e+09	-1.01892e+09	-4.89459e+11	-4561.48	442621	radar	3.88123e+26	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4433	20.1836	-5.16527e+11	16504.6	430033	lidar	3.31433e+23	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	659670	411279	-5.16527e+11	38008.5	430169	radar	7.69801e+13	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.2016	20.4385	-5.16515e+11	59515.8	430152	lidar	1.27059e+17	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	774078	-16496.1	-5.16515e+11	81033.7	430463	radar	7.39532e+14	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.7283	20.547	-5.17133e+11	102572	430715	lidar	4.08395e+20	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	6.45868e+06	-3.33443e+06	-5.17133e+11	124111	430712	radar	6.97502e+14	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.0521	20.5924	-5.1713e+11	145642	430652	lidar	1.67287e+19	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	39484.3	-11581.2	-5.1713e+11	167192	431349	radar	6.14536e+12	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.4686	20.7254	-5.17433e+11	188764	431413	lidar	3.69764e+19	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	494418	176061	-5.17433e+11	210338	431579	radar	5.09413e+13	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1072	20.8294	-5.1719e+11	231913	431529	lidar	2.36996e+19	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	-1576.55	1194.7	-5.1719e+11	253399	427877	radar	5.27184e+11	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.8729	21.0591	-5.17196e+11	274793	427882	lidar	3.3168e+16	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	-209291	339969	-5.17196e+11	296168	427251	radar	7.5009e+14	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.206	21.11	-5.1718e+11	317532	427265	lidar	2.62541e+17	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	454073	220220	-5.1718e+11	338899	427449	radar	3.83642e+12	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.6814	20.8651	-5.17873e+11	360282	427595	lidar	1.92088e+20	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	-1.72495e+06	4.5074e+06	-5.17873e+11	381659	427567	radar	1.5565e+15	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.363	21.0688	-5.17707e+11	403039	427596	lidar	8.35385e+20	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	781361	3.479e+06	-5.17707e+11	424416	427567	radar	1.06923e+15	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8903	20.927	-5.17898e+11	445798	427619	lidar	1.45663e+19	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	443355	1.21505e+06	-5.17898e+11	467178	427513	radar	1.34459e+14	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.189	21.209	-5.17828e+11	488554	427515	lidar	1.92819e+18	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	334410	119884	-5.17828e+11	509934	427725	radar	3.67057e+13	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.99635	20.9797	-5.17852e+11	531322	427751	lidar	8.56334e+17	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	335962	666334	-5.17852e+11	552703	427558	radar	3.13551e+14	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.53893	20.8767	-5.1771e+11	574077	427495	lidar	1.9678e+19	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	-214665	266584	-5.1771e+11	595449	427371	radar	1.30682e+11	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.70331	20.8221	-5.17712e+11	616818	427382	lidar	3.09243e+15	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	707.918	-359.807	-5.17712e+11	638844	453618	radar	1.16866e+14	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.22276	20.4839	-5.17712e+11	661525	453652	lidar	1.2068e+14	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	-263982	693013	-5.17712e+11	684213	453934	radar	4.9743e+14	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.88599	20.4503	-5.17647e+11	706908	453913	lidar	4.07432e+18	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	-21313.2	1.75901e+06	-5.17647e+11	729604	454007	radar	1.54992e+13	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.18029	20.392	-5.17748e+11	752304	453992	lidar	4.08282e+18	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	4.70928e+06	-1.57922e+06	-5.17748e+11	775005	453951	radar	4.87143e+14	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
